"ANO_MES","UF","Municipio_N","Diagnostico_N","QUANTIDADE"
"2017/02",1,"Cacoal","Adenite",3
"2017/02",1,"Campo Novo de Rondônia","Adenite",2
"2017/02",1,"Cerejeiras","Adenite",2
"2017/02",1,"Colorado do Oeste","Adenite",9
"2017/02",1,"Parecis","Adenite",2
"2017/02",1,"Pimenta Bueno","Adenite",1
"2017/02",1,"Santa Luzia d'Oeste","Adenite",1
"2017/02",1,"Vale do Paraíso","Adenite",1
"2018/02",1,"Ariquemes","Adenite",2
"2018/02",1,"Campo Novo de Rondônia","Adenite",6
"2018/02",1,"Cerejeiras","Adenite",4
"2019/02",1,"Parecis","Adenite",3
"2019/02",1,"Vilhena","Adenite",16
"2005/03",1,"Porto Velho","Adenite",1
"2009/03",1,"Cerejeiras","Adenite",1
"2009/03",1,"Chupinguaia","Adenite",6
"2009/03",1,"Rolim de Moura","Adenite",1
"2010/03",1,"Corumbiara","Adenite",1
"2011/03",1,"Vilhena","Adenite",2
"2012/03",1,"Chupinguaia","Adenite",36
"2012/03",1,"Colorado do Oeste","Adenite",14
"2012/03",1,"Espigão d'Oeste","Adenite",3
"2013/03",1,"Corumbiara","Adenite",17
"2014/03",1,"Parecis","Adenite",2
"2014/03",1,"Pimenteiras do Oeste","Adenite",2
"2015/03",1,"Cabixi","Adenite",7
"2015/03",1,"Pimenteiras do Oeste","Adenite",3
"2015/03",1,"Rio Crespo","Adenite",1
"2015/03",1,"Vilhena","Adenite",7
"2016/03",1,"Buritis","Adenite",5
"2016/03",1,"Costa Marques","Adenite",3
"2017/03",1,"Ariquemes","Adenite",1
"2017/03",1,"Cacoal","Adenite",2
"2017/03",1,"Chupinguaia","Adenite",10
"2017/03",1,"Colorado do Oeste","Adenite",9
"2017/03",1,"Machadinho d'Oeste","Adenite",1
"2017/03",1,"Pimenta Bueno","Adenite",2
"2017/03",1,"Porto Velho","Adenite",11
"2018/03",1,"Ariquemes","Adenite",11
"2018/03",1,"Campo Novo de Rondônia","Adenite",6
"2018/03",1,"Cerejeiras","Adenite",4
"2018/03",1,"Nova Mamoré","Adenite",2
"2018/03",1,"Porto Velho","Adenite",1
"2018/03",1,"São Francisco do Guaporé","Adenite",4
"2019/03",1,"Alto Alegre dos Parecis","Adenite",1
"2019/03",1,"Colorado do Oeste","Adenite",21
"2019/03",1,"Monte Negro","Adenite",2
"2008/04",1,"Cabixi","Adenite",2
"2009/04",1,"Colorado do Oeste","Adenite",2
"2009/04",1,"Presidente Médici","Adenite",1
"2010/04",1,"Cerejeiras","Adenite",2
"2010/04",1,"Colorado do Oeste","Adenite",4
"2010/04",1,"Presidente Médici","Adenite",1
"2010/04",1,"São Felipe d'Oeste","Adenite",2
"2010/04",1,"Theobroma","Adenite",8
"2011/04",1,"Cabixi","Adenite",1
"2011/04",1,"Primavera de Rondônia","Adenite",5
"2012/04",1,"Cacoal","Adenite",1
"2013/04",1,"Alto Alegre dos Parecis","Adenite",2
"2013/04",1,"Cabixi","Adenite",12
"2013/04",1,"Chupinguaia","Adenite",9
"2013/04",1,"Colorado do Oeste","Adenite",12
"2013/04",1,"Corumbiara","Adenite",14
"2014/04",1,"Cacoal","Adenite",1
"2014/04",1,"Pimenteiras do Oeste","Adenite",8
"2015/04",1,"Cacoal","Adenite",1
"2015/04",1,"Governador Jorge Teixeira","Adenite",6
"2015/04",1,"Monte Negro","Adenite",1
"2015/04",1,"Parecis","Adenite",1
"2015/04",1,"Pimenteiras do Oeste","Adenite",8
"2016/04",1,"Cerejeiras","Adenite",1
"2016/04",1,"Chupinguaia","Adenite",1
"2016/04",1,"Nova Mamoré","Adenite",1
"2017/04",1,"Buritis","Adenite",6
"2017/04",1,"Cabixi","Adenite",11
"2017/04",1,"Cacoal","Adenite",2
"2017/04",1,"Chupinguaia","Adenite",9
"2017/04",1,"Colorado do Oeste","Adenite",21
"2017/04",1,"Jaru","Adenite",1
"2017/04",1,"Vilhena","Adenite",12
"2018/04",1,"Cabixi","Adenite",12
"2018/04",1,"Corumbiara","Adenite",40
"2018/04",1,"Rio Crespo","Adenite",1
"2018/04",1,"Rolim de Moura","Adenite",4
